Test_ID,Module,Sub_Module,Priority,Roles,Route_URL,Test_Case,Preconditions,Steps,Expected_Result,Status,Actual_Result,Bug_Link,Tester,Test_Date,Environment,Notes
UAT-000,Setup,บัญชีทดสอบ,P0,"SA,SM,REG,KS,WS,PUB",-,เตรียมบัญชีทดสอบครบทุก role,มีสิทธิ์สร้าง user หรือมี seed data,"1) สร้าง/ยืนยันบัญชี SA, SM (ศูนย์ A), REG, KS, WS
2) ยืนยัน SM อยู่ศูนย์เดียว
3) เตรียมบัญชี anonymous (ไม่ login) สำหรับ public",มีบัญชีครบ 6 กลุ่ม พร้อมรหัสผ่าน และ shelter scope ถูกต้อง,Not Tested,,,,,Staging,ขั้นต่ำก่อนเริ่ม UAT
UAT-001,Setup,Environment,P0,All,-,ยืนยัน environment พร้อมทดสอบ,"Stack ขึ้นครบ (CouchDB, Mongo, worker, FastAPI, frontend)","1) เปิด URL staging/local
2) ตรวจ /public โหลดได้
3) ตรวจ /login โหลดได้
4) ตรวจ announcement/shelter public มีข้อมูลตัวอย่าง",หน้า public และ login ใช้งานได้ มีข้อมูล seed พอทดสอบ,Not Tested,,,,,Staging,
UAT-010,Auth,Login,P0,All staff,/login,Login สำเร็จด้วย credentials ถูกต้อง,มีบัญชี staff ที่ active,"1) เปิด /login
2) กรอก username/password ถูกต้อง
3) Submit",เข้าสู่ระบบสำเร็จ และถูกพาไป /portal,Not Tested,,,,,Staging,
UAT-011,Auth,Login,P0,All staff,/login,Login ล้มเหลวด้วย credentials ผิด,-,"1) กรอก username/password ผิด
2) Submit",แสดง error toast และยังอยู่ที่ /login ไม่เข้า protected,Not Tested,,,,,Staging,
UAT-012,Auth,Guard,P0,Anonymous,/back-office/evacuee-management,Unauthenticated เข้า protected route ถูก redirect,ยังไม่ login / ล้าง cookie,1) เปิด URL protected โดยตรง,Redirect ไป /login,Not Tested,,,,,Staging,
UAT-013,Auth,Redirect,P1,SA,/login,ผู้ที่ login แล้วเข้า /login ถูกพาไป portal,Login อยู่แล้ว,1) เปิด /login,Redirect ไป /portal,Not Tested,,,,,Staging,
UAT-014,Auth,Logout,P0,All staff,(protected),Logout สำเร็จ,Login อยู่,1) กด Logout จาก header,ออกจากระบบ พาไป /public และเข้า protected ไม่ได้อีก,Not Tested,,,,,Staging,
UAT-015,Auth,Session expiry,P1,All staff,(protected),Session หมดอายุแสดงแถบเตือนและ reauth ได้,สามารถจำลอง session หมดอายุ (หรือรอหมดอายุ),"1) ทำให้ session หมดอายุ
2) สังเกตแถบ Session หมดอายุ
3) Login ใหม่ผ่าน dialog","แสดงแถบ ""Session หมดอายุ"" และ reauth แล้วใช้งานต่อได้",Not Tested,,,,,Staging,ข้อความไทย: Session หมดอายุ / กรุณาเข้าสู่ระบบอีกครั้ง
UAT-016,Auth,Role redirect,P0,"REG,KS,WS",/portal/system-management,Role ที่ไม่มีสิทธิ์ถูกกันออกจาก System Management,Login เป็น REG หรือ KS หรือ WS,1) พยายามเปิด /portal/system-management,ถูก redirect ไป /portal (หรือถูกกันเข้า) ไม่เห็นข้อมูล SA,Not Tested,,,,,Staging,
UAT-017,Auth,Connectivity,P1,All staff,(protected),เมื่อเชื่อมต่อ CouchDB ไม่ได้แสดง disconnected banner,สามารถตัด network/proxy ชั่วคราว,"1) ตัดการเชื่อมต่อ /couch
2) พยายามโหลดข้อมูล",แสดง banner cannot connect / offline status — ไม่แสดงข้อมูล cache เก่าแบบ offline-first,Not Tested,,,,,Staging,Remote-first policy: status-only ไม่มี local DB
UAT-020,Portal Hub,Card visibility,P0,SA,/portal,SA เห็นการ์ดครบทุกโมดูล,Login เป็น SA,"1) เปิด /portal
2) ตรวจการ์ด: Onsite, Public, System Management, Back-Office",เห็น 4 การ์ด: ระบบส่วนหน้า / เว็บพอร์ทัลสาธารณะ / ทะเบียนพื้นที่และศูนย์พักพิง / ระบบส่วนหลัง,Not Tested,,,,,Staging,
UAT-021,Portal Hub,Card visibility,P0,SM,/portal,SM เห็น Onsite + Public + Back-Office แต่ไม่เห็น System Management,Login เป็น SM,1) เปิด /portal,"เห็น Onsite, Public, Back-Office — ไม่เห็น System Management (SA only)",Not Tested,,,,,Staging,
UAT-022,Portal Hub,Card visibility,P0,"REG,KS,WS",/portal,REG/KS/WS เห็นเฉพาะ Onsite + Public,Login เป็น REG หรือ KS หรือ WS,1) เปิด /portal,เห็นเฉพาะระบบส่วนหน้า และลิงก์ public — ไม่เห็น Back-Office / System Management,Not Tested,,,,,Staging,
UAT-023,Portal Hub,Navigation,P1,SA,/portal,คลิกการ์ดพาไปถูกหน้า,Login SA,1) คลิกแต่ละการ์ด,"ไป /onsite, /public, /portal/system-management, back-office ตามลำดับ",Not Tested,,,,,Staging,
UAT-030,Onsite,Hub,P0,"REG,SM,SA",/onsite,เปิดหน้า Onsite hub และเห็นเมนูหลัก,Login REG/SM/SA,1) เปิด /onsite,"เห็น ""ระบบส่วนหน้า ณ ศูนย์พักพิง"" และปุ่ม ลงทะเบียนใหม่ / สแกนเข้า-ออกศูนย์",Not Tested,,,,,Staging,ค้นหาและแก้ไขข้อมูลอาจ disabled — บันทึกเป็น Skip ถ้ายังไม่เปิด
UAT-031,Onsite,Registration,P0,"REG,SM,SA",/onsite/people,ลงทะเบียนผู้ประสบภัยครบ flow (ปกติ),มีศูนย์ที่เปิดรับ + zone พร้อม,"1) เปิดลงทะเบียนใหม่
2) ตรวจประวัติ (บัตร/เบอร์/ชื่อ)
3) กรอก EWAR symptoms
4) กรอกข้อมูลบุคคล
5) ผูก/สร้างครัวเรือน
6) บันทึก pet/asset/vehicle (ถ้ามี)
7) เลือกโซน
8) จบที่หน้า wristband/success",สร้าง person + household ได้สำเร็จ อยู่ในโซนที่เลือก occupancy อัปเดต,Not Tested,,,,,Staging,
UAT-032,Onsite,Registration duplicate,P0,REG,/onsite/people,ตรวจประวัติเจอคนเดิมไม่สร้างซ้ำโดยไม่ตั้งใจ,มีผู้ประสบภัยที่ลงทะเบียนแล้ว,"1) ค้นด้วยเลขบัตรหรือเบอร์เดิม
2) ดูผลลัพธ์",พบประวัติเดิม และมีทางเลือกใช้/แก้ไขแทนสร้างใหม่,Not Tested,,,,,Staging,
UAT-033,Onsite,Fast Track,P0,"REG,SM",/onsite/people?mode=fast_track,Fast Track สำหรับกลุ่มเปราะบาง/medical,มีโซนเปราะบางหรือนโยบายรับ,"1) เปิดโหมด Fast Track
2) กรอกข้อมูลขั้นต่ำที่จำเป็น
3) บันทึก",แสดงแบนเนอร์ Fast Track และลงทะเบียนสำเร็จตามช่องทางพิเศษ,Not Tested,,,,,Staging,
UAT-034,Onsite,Symptoms → Fast Track,P1,REG,/onsite/people,อาการเฝ้าระวังบังคับเข้า Fast Track,-,"1) ในขั้นตอน symptoms เลือกอาการที่ trigger
2) ดู track ที่ระบบกำหนด",ระบบบังคับ/เปลี่ยนเป็น Fast Track,Not Tested,,,,,Staging,
UAT-035,Onsite,Scan check-in,P0,"REG,SM,SA",/onsite/scan-check-in-out,Check-in ด้วย QR สำเร็จ,มี QR ของผู้ประสบภัย/ครัวเรือนที่ยังไม่ check-in,"1) เปิดหน้าสแกน
2) สแกน QR หรือใส่รหัสมือ
3) ยืนยัน check-in",สถานะเข้าศูนย์สำเร็จ occupancy เพิ่มตามกฎ,Not Tested,,,,,Staging,
UAT-036,Onsite,Scan check-out,P0,"REG,SM,SA",/onsite/scan-check-in-out,Check-out ต้องระบุปลายทาง,มีคนที่อยู่ในศูนย์แล้ว,"1) สแกนคนที่อยู่
2) เลือก check-out
3) ไม่ใส่ destination แล้วลองบันทึก
4) ใส่ destination แล้วบันทึก",ไม่มี destination = ไม่ผ่าน; มี destination = check-out สำเร็จ,Not Tested,,,,,Staging,Invariant R-29-8
UAT-037,Onsite,Scan camera denied,P2,REG,/onsite/scan-check-in-out,ปฏิเสธสิทธิ์กล้องแล้วยังใช้ manual ได้,Browser ปฏิเสธ camera,"1) Deny camera
2) ใช้กรอกรหัสมือ/ค้นหา",แสดงข้อความไม่เข้าถึงกล้องได้ แต่ manual/search ใช้ได้,Not Tested,,,,,Staging,
UAT-038,Onsite,Scan terminal status,P1,REG,/onsite/scan-check-in-out,สถานะปลายทาง (เช่น deceased) ห้าม check-in,มี record สถานะ terminal (ถ้ามีใน seed),1) พยายาม check-in คนสถานะ terminal,ระบบปฏิเสธ check-in พร้อมข้อความชัดเจน,Not Tested,,,,,Staging,Skip ถ้าไม่มีข้อมูลทดสอบ
UAT-039,Onsite,Profile view,P1,"REG,SM",/onsite/people/evacuee-profile-view/[id],ดูโปรไฟล์ผู้ประสบภัยจาก onsite,มี evacuee id,1) เปิดโปรไฟล์จากรายการ/ลิงก์,แสดงข้อมูลถูกต้องตามสิทธิ์ shelter scope,Not Tested,,,,,Staging,
UAT-040,Back-Office,Evacuee dashboard,P0,"SA,SM,REG",/back-office/evacuee-management?tab=dashboard,แท็บภาพรวมแสดง occupancy/demographics ของศูนย์ที่เลือก,มีข้อมูลผู้พักพิงในศูนย์,"1) เปิดแท็บภาพรวม
2) เลือกศูนย์ (ถ้าเป็น SA)
3) ตรวจตัวเลข",ตัวเลขสอดคล้องกับจำนวนคนจริงในศูนย์,Not Tested,,,,,Staging,
UAT-041,Back-Office,Evacuee list,P0,"SA,SM,REG",/back-office/evacuee-management?tab=evacuee,ค้นหาและเปิดแก้ไขผู้ประสบภัย,มีรายชื่อ,"1) ค้นชื่อ/บัตร
2) เปิดแก้ไข
3) แก้ฟิลด์ที่ไม่ critical แล้วบันทึก",ค้นเจอ แก้ไขบันทึกได้ และสะท้อนในรายการ,Not Tested,,,,,Staging,
